category,tags,image,weekend_price,weekday_price,distance,rating,place_name,city,description
Agrowisata,"Agrowisata, Gianyar, Dekat dari Bandara, Mahal",https://i0.wp.com/sabani.com/wp-content/uploads/2018/09/satria-coffee-5.jpg?resize=1280%2C720&ssl=1,50000,50000,dekat,3,Agrowisata Satria,Gianyar,Agrowisata Satria menawarkan rasa Bali pada setiap sesapan teh dan kopi di tengah perkebunan yang asri
Agrowisata,"Agrowisata, Gianyar, Sedang dari Bandara, Mahal",https://static.cityspride.com/img/ruuu_1101/pride/l/4e4cac03b52525030aba14e1bc1972090.jpg,300000,300000,sedang,5,Aloha Ubud Swing,Gianyar,Ajaklah orangorang tercinta untuk mencoba ayunan tandem swing yang seru sekaligus menyenangkan atau jika Anda ingin merasakan sensasi terbang tinggi sendiri cobalah single swing yang mengayun tinggi hingga meter di atas tanah
Agrowisata,"Agrowisata, Denpasar, Dekat dari Bandara, Murah",https://www.rentalmobilbali.net/wp-content/uploads/2017/01/Big-Garden-Corner-Sanur-Denpasar-Bali.jpg,35000,30000,dekat,4,Big Garden Corner,Denpasar,Objek wisata Big Garden Corner Sanur adalah sebuah galeri seni batu dan taman patung namun nuansanya sangat berbeda dengan galeri patung yang lain karena banyak ragam patung yang ada
Agrowisata,"Agrowisata, Gianyar, Dekat dari Bandara, Gratis",https://www.omnivagant.com/wp-content/uploads/2018/10/DJI_0084-2.jpg,0,0,dekat,4.5,Campuhan Ridge Walk,Gianyar,Campuhan Ridge Walk adalah sebuah trek jogging di sekitar perbukitan Campuhan Bali Pemandangan pegunungan dan perbukitan yang sangat asri dapat Anda lihat di kanan dan kiri jalur setapak Lembah rumput hijau dan sungai yang berada di pinggiran jalan setapak ini membuat sebuah pemandangan indah nan istimewa
Agrowisata,"Agrowisata, Tabanan, Sedang dari Bandara, Murah",https://img.freepik.com/premium-photo/green-rice-terraces-jatiluwih-close-ubud-bali-indonesia_199107-750.jpg?w=2000,40000,40000,sedang,4.5,Jatiluwih Green Land,Tabanan,Nominasi untuk penunjukan sebagai situs Warisan Dunia UNESCO Jatiluwih menawarkan pemandangan indah sawah irigasi berkontur menggunakan sistem air komunal mengesankan dikembangkan oleh petani Bali
Agrowisata,"Agrowisata, Gianyar, Sedang dari Bandara, Murah",https://media.travelingyuk.com/unggah/2019/02/Teras_Sawah_Tegalalang_asri_7093.jpg,10000,10000,sedang,4,Teras Sawah Tegalalan,Gianyar,Uniknya Tegallalang Rice Terrace di Bali ini adalah masih menggunakan sistem irigasi tradisional bernama Subak Tidak tanggungtanggung pada tahun Subak mendapatkan penghargaan dari United Nations Educational Scientific and Cultural Organization UNESCO Yaitu sebagai warisan budaya dunia
Agrowisata,"Agrowisata, Gianyar, Sedang dari Bandara, Murah",https://pbs.twimg.com/media/FgO5flYaAAAYsB0?format=jpg&name=large,10000,10000,sedang,4,Alas Harum Agro Tourism,Gianyar,Alas Harum Bali merupakan destinasi wisata yang berlatarkan pemandangan alam terbuka nan hijau Suasana di Alas Harum begitu nyaman dan tenang
Agrowisata,"Agrowisata, Gianyar, Dekat dari Bandara, Gratis",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/1f/c7/a0/20170106-111533-largejpg.jpg?w=1200&h=1200&s=1,0,0,dekat,4,Wisata Agro Teba Sari Bali,Gianyar,Dalam kawasan Wisata Agro Teba Sari Bali pengunjung yang datang dapat menikmati pemandangan perkebunan kopi dan peternakan hewan luwak serta teknik pertanian modern sambil berekreasi dan menikmati makan siang di restoran
Alam,"Alam, Bangli, Sedang dari Bandara, Mahal",http://punapibali.com/wp-content/uploads/2016/12/15259003_188825884915810_8628248028152594432_n-580x387.jpg,70000,70000,sedang,4,Wisata Air Panas Toya Bungkah,Bangli,Pemandian air panas di dekat gunung Batur Pemandian Air Panas Batur di Bali merupakan keseluruhan kompleks waduk Air di dalamnya memanas hingga derajat mengandung banyak mineral dan belerang dan memiliki khasiat penyembuhan
Alam,"Alam, Buleleng, Jauh dari Bandara, Murah",https://www.pegipegi.com/travel/wp-content/uploads/2019/05/shutterstock_1125344459.jpg,20000,20000,jauh,4.5,Air Terjun Aling-Aling,Buleleng,Keberadaan air terjun ini semakin mempercantik wisata alam yang terdapat di pulau dewata Bali
